$version=1
!Code,Latitude,Longitude
2087,-22.71,-47.01
2093,-21.52,-42.66
2095,-21.49,-42.84
2097,-21.39,-42.7
2098,-21.39,-42.68
2099,-21.37,-42.47
2101,-21.12,-42.34
2102,-21.14,-42.37
2103,-21.31,-42.87
2105,-21.11,-42.96
2106,-21.11,-42.94
2107,-21.11,-42.84
2108,-21.11,-42.84
2109,-21.02,-42.84
2110,-20.87,-42.79
2111,-21.3,-43.2
2112,-21.17,-43.02
2114,-20.24,-42.02
2115,-20.24,-42.14
2117,-20.3,-42.33
2120,-21.87,-42.67
2122,-20.92,-42.66
2124,-21.46,-43.12
2125,-21.48,-42.85
2127,-21.2,-42.87
2128,-21,-42.51
2129,-21.17,-42.59
2130,-20.71,-41.71
2131,-20.93,-42.31
2133,-21.01,-42.45
2135,-21.49,-43.46
2144,-20.99,-43
2147,-20.35,-42.36
2148,-20.38,-42.35
2149,-21.54,-42.46
2151,-20.12,-41.91
2154,-20.35,-42.36
2155,-20.29,-42.34
2157,-20.35,-42.36
2158,-21.13,-42.91
2159,-20.27,-42.07
2161,-20.18,-42.37
2163,-21.35,-42.97
2164,-20.91,-42.66
2165,-21.45,-42.4
2167,-21.3,-42.91
2168,-21.37,-42.99
2169,-21.08,-42.34
2170,-20.12,-42.4
2173,-21.32,-42.95
2191,-22.98,-49.88
2192,-23,-49.85
2194,-23.02,-49.47
2195,-23.41,-49.08
2197,-22.91,-49
2198,-23.1,-49.59
2199,-23.13,-49.04
2201,-22.87,-49.22
2202,-23.45,-49.4
2207,-23.43,-48.87
2208,-23.21,-49.61
2209,-23.27,-49.47
2210,-23.2,-49.76
2211,-23.02,-46.83
2213,-23,-46.85
2215,-22.99,-47.45
2216,-22.9,-47.12
2217,-23,-47.15
2218,-22.72,-46.78
2219,-22.71,-46.78
2220,-22.95,-47.12
2221,-22.76,-47.43
2222,-22.89,-47.12
2223,-22.92,-47.1
2224,-22.99,-47.5
2226,-22.72,-47.59
2227,-22.89,-47.1
2228,-22.86,-47.19
2229,-22.65,-47.69
2230,-22.89,-47.03
2231,-22.76,-47.38
2232,-22.69,-47.65
2233,-22.8,-47.21
2234,-22.7,-47.35
2235,-22.88,-47.14
2236,-22.7,-47.31
2237,-22.73,-47.3
2238,-22.44,-46.83
2239,-22.74,-47.35
2240,-22.89,-47.19
2241,-22.95,-47.29
2242,-22.99,-47.12
2243,-22.84,-47.19
2244,-22.76,-47.32
2245,-22.73,-47.67
2246,-22.89,-47
2247,-22.7,-47.6
2248,-22.74,-47.16
2249,-22.19,-46.77
2250,-22.95,-47.15
2251,-22.76,-47.64
2253,-22.85,-47.17
2254,-22.73,-47.13
2255,-22.76,-47.11
2256,-22.85,-47.59
2257,-23,-47.03
2258,-22.83,-47.67
2259,-22.56,-47.9
2260,-22.81,-47.26
2262,-22.86,-47.05
