**** Fuel:     98 OLEO (98)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2035 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32
2036 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32
2037 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32
2038 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32
2039 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32 1292.32
**** Fuel:    529 GAS (529)   
Year .....01 .....02 .....03 .....04 .....05 .....06 .....07 .....08 .....09 .....10 .....11 .....12
2025     355     355     355     355     355     355     355     355     355     355     355     355
2026     355     355     355     355     355     355     355     355     355     355     355     355
2027     349     349     349     349     349     349     349     349     349     349     349     349
2028     371     371     371     371     371     371     371     371     371     371     371     371
2029     356     356     356     356     356     356     356     356     356     356     356     356
2030     356     356     356     356     356     356     356     356     356     356     356     356
2031     356     356     356     356     356     356     356     356     356     356     356     356
2032     356     356     356     356     356     356     356     356     356     356     356     356
2033     356     356     356     356     356     356     356     356     356     356     356     356
2034     356     356     356     356     356     356     356     356     356     356     356     356
2035     356     356     356     356     356     356     356     356     356     356     356     356
2036     356     356     356     356     356     356     356     356     356     356     356     356
2037     356     356     356     356     356     356     356     356     356     356     356     356
2038     356     356     356     356     356     356     356     356     356     356     356     356
2039     356     356     356     356     356     356     356     356     356     356     356     356
