**** Planta:  117 GUARAPIRANGA Penal:         9200
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2039      48      48      48      48      48      48      48      48      48      48      48      48
**** Planta:  155 RETIRO BAIXO Penal:    422.04629
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2026   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2027   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2028   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2029   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2030   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2031   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2032   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2033   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2034   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2035   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2036   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2037   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2038   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
2039   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67   27.67
**** Planta:  156 TRES MARIAS  Penal:    849.23814
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     150     150     150     150     150     150     150     150     150     150     150     150
2026     150     150     150     150     150     150     150     150     150     150     150     150
2027     150     150     150     150     150     150     150     150     150     150     150     150
2028     150     150     150     150     150     150     150     150     150     150     150     150
2029     150     150     150     150     150     150     150     150     150     150     150     150
2030     150     150     150     150     150     150     150     150     150     150     150     150
2031     150     150     150     150     150     150     150     150     150     150     150     150
2032     150     150     150     150     150     150     150     150     150     150     150     150
2033     150     150     150     150     150     150     150     150     150     150     150     150
2034     150     150     150     150     150     150     150     150     150     150     150     150
2035     150     150     150     150     150     150     150     150     150     150     150     150
2036     150     150     150     150     150     150     150     150     150     150     150     150
2037     150     150     150     150     150     150     150     150     150     150     150     150
2038     150     150     150     150     150     150     150     150     150     150     150     150
2039     150     150     150     150     150     150     150     150     150     150     150     150
**** Planta:  162 QUEIMADO     Penal:    1261.6556
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2026     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2027     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2028     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2029     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2030     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2031     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2032     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2033     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2034     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2035     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2036     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2037     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2038     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
2039     8.8     8.8     8.8     8.8      17      17      17      17      17      17     8.8     8.8
**** Planta:  185 BARRA BRAUNA Penal:    6.8333442
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025      21      21      21      21      21      21      21      21      21      21      21      21
2026      21      21      21      21      21      21      21      21      21      21      21      21
2027      21      21      21      21      21      21      21      21      21      21      21      21
2028      21      21      21      21      21      21      21      21      21      21      21      21
2029      21      21      21      21      21      21      21      21      21      21      21      21
2030      21      21      21      21      21      21      21      21      21      21      21      21
2031      21      21      21      21      21      21      21      21      21      21      21      21
2032      21      21      21      21      21      21      21      21      21      21      21      21
2033      21      21      21      21      21      21      21      21      21      21      21      21
2034      21      21      21      21      21      21      21      21      21      21      21      21
2035      21      21      21      21      21      21      21      21      21      21      21      21
2036      21      21      21      21      21      21      21      21      21      21      21      21
